claim_id,judge_verdict
q17:verified:9,partial
q05:raw:0,supported
q16:raw:4,partial
q08:raw:3,supported
q05:verified:0,supported
q05:verified:8,supported
q14:raw:3,partial
q02:raw:3,unsupported
q19:verified:1,supported
q19:verified:0,supported
q13:verified:5,partial
q17:raw:9,partial
q02:verified:1,partial
q19:raw:1,supported
q15:raw:6,partial
q17:raw:7,unsupported
q02:verified:5,supported
q02:raw:2,supported
q04:raw:4,supported
q03:raw:3,supported
q17:raw:1,partial
q04:verified:6,supported
q06:raw:3,supported
q16:verified:3,supported
q05:raw:8,supported
q14:verified:4,unsupported
q03:raw:1,supported
q04:raw:6,supported
q05:verified:2,unsupported
q13:raw:0,supported
q02:verified:3,unsupported
q07:raw:2,supported
q19:raw:2,supported
q03:verified:3,supported
q03:raw:0,supported
q15:verified:0,supported
q04:verified:0,partial
q17:verified:2,unsupported
q16:raw:2,unsupported
q05:raw:2,unsupported
q19:raw:0,supported
q05:raw:5,partial
q13:verified:2,unsupported
q06:verified:5,supported
q16:verified:0,supported
q14:raw:4,unsupported
q05:verified:7,unsupported
q17:raw:6,unsupported
q18:verified:2,supported
q06:verified:0,supported
q16:verified:1,unsupported
q17:raw:8,unsupported
q17:verified:5,partial
q04:verified:5,supported
q07:verified:3,partial
q04:raw:3,supported
q17:raw:2,unsupported
q02:verified:2,supported
q18:raw:2,supported
q04:raw:0,partial
q03:raw:2,supported
q05:verified:1,supported
q02:verified:0,unsupported
q17:verified:1,partial
q08:verified:1,supported
q08:verified:3,supported
q15:verified:1,supported
q17:raw:0,unsupported
q05:raw:1,supported
q15:verified:4,supported
q18:verified:1,supported
q04:raw:7,supported
q08:verified:0,supported
q14:verified:0,unsupported
q05:verified:3,partial
q14:raw:2,unsupported
q19:verified:3,supported
q06:raw:2,supported
q13:raw:5,partial
q05:raw:7,unsupported
q07:raw:5,partial
q08:verified:2,unsupported
q17:verified:6,unsupported
q07:raw:4,partial
q13:verified:4,partial
q03:verified:1,supported
q15:raw:1,supported
q07:verified:1,supported
q18:raw:0,supported
q19:verified:4,partial
q15:verified:5,unsupported
q15:raw:8,supported
q02:verified:6,partial
q05:verified:9,unsupported
q02:raw:4,unsupported
q15:verified:3,supported
q04:verified:1,unsupported
q05:verified:4,unsupported
q04:verified:4,supported
